Pather Panchali,1955," Kanu Bannerjee, Karuna Bannerjee",Satyajit Ray ,https://www.imdb.com/title/tt0048473/
Rocky,1976," Sylvester Stallone, Talia Shire",John G. Avildsen ,https://www.imdb.com/title/tt0075148/
Platoon,1986," Charlie Sheen, Tom Berenger",Oliver Stone ,https://www.imdb.com/title/tt0091763/
Ford v Ferrari,2019," Matt Damon, Christian Bale",James Mangold ,https://www.imdb.com/title/tt1950186/
Stand by Me,1986," Wil Wheaton, River Phoenix",Rob Reiner ,https://www.imdb.com/title/tt0092005/
The Terminator,1984," Arnold Schwarzenegger, Linda Hamilton",James Cameron ,https://www.imdb.com/title/tt0088247/
Spotlight,2015," Mark Ruffalo, Michael Keaton",Tom McCarthy ,https://www.imdb.com/title/tt1895587/
Rush,2013," Daniel Brühl, Chris Hemsworth",Ron Howard ,https://www.imdb.com/title/tt1979320/
Into the Wild,2007," Emile Hirsch, Vince Vaughn",Sean Penn ,https://www.imdb.com/title/tt0758758/
Network,1976," Faye Dunaway, William Holden",Sidney Lumet ,https://www.imdb.com/title/tt0074958/
The Wizard of Oz,1939," Judy Garland, Frank Morgan",Victor Fleming ,https://www.imdb.com/title/tt0032138/
Logan,2017," Hugh Jackman, Patrick Stewart",James Mangold ,https://www.imdb.com/title/tt3315342/
Groundhog Day,1993," Bill Murray, Andie MacDowell",Harold Ramis ,https://www.imdb.com/title/tt0107048/
Ratatouille,2007," Brad Garrett, Lou Romano",Brad Bird ,https://www.imdb.com/title/tt0382932/
The Exorcist,1973," Ellen Burstyn, Max von Sydow",William Friedkin ,https://www.imdb.com/title/tt0070047/
Before Sunset,2004," Ethan Hawke, Julie Delpy",Richard Linklater ,https://www.imdb.com/title/tt0381681/
The Best Years of Our Lives,1946," Myrna Loy, Dana Andrews",William Wyler ,https://www.imdb.com/title/tt0036868/
The Incredibles,2004," Craig T. Nelson, Samuel L. Jackson",Brad Bird ,https://www.imdb.com/title/tt0317705/
To Be or Not to Be,1942," Carole Lombard, Jack Benny",Ernst Lubitsch ,https://www.imdb.com/title/tt0035446/
Rebecca,1940," Laurence Olivier, Joan Fontaine",Alfred Hitchcock ,https://www.imdb.com/title/tt0032976/
La battaglia di Algeri,1966," Brahim Hadjadj, Jean Martin",Gillo Pontecorvo ,https://www.imdb.com/title/tt0058946/
The Grapes of Wrath,1940," Henry Fonda, Jane Darwell",John Ford ,https://www.imdb.com/title/tt0032551/
Hachi: A Dog's Tale,2009," Richard Gere, Joan Allen",Lasse Hallström ,https://www.imdb.com/title/tt1028532/
Cool Hand Luke,1967," Paul Newman, George Kennedy",Stuart Rosenberg ,https://www.imdb.com/title/tt0061512/
Amores perros,2000," Emilio Echevarría, Gael García Bernal",Alejandro G. Iñárritu ,https://www.imdb.com/title/tt0245712/
Pirates of the Caribbean: The Curse of the Black Pearl,2003," Johnny Depp, Geoffrey Rush",Gore Verbinski ,https://www.imdb.com/title/tt0325980/
Les quatre cents coups,1959," Jean-Pierre Léaud, Albert Rémy",François Truffaut ,https://www.imdb.com/title/tt0053198/
La haine,1995," Vincent Cassel, Hubert Koundé",Mathieu Kassovitz ,https://www.imdb.com/title/tt0113247/
Persona,1966," Bibi Andersson, Liv Ullmann",Ingmar Bergman ,https://www.imdb.com/title/tt0060827/
Dersu Uzala,1975," Maksim Munzuk, Yuriy Solomin",Akira Kurosawa ,https://www.imdb.com/title/tt0071411/
